original_id,original_type,normalized_id,normalized_type,PubMedID
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39307038
esophageal squamous cell carcinoma,preferred_label,esophageal squamous cell carcinoma,preferred_label,39307038
camrelizumab,preferred_label,camrelizumab,preferred_label,39307038
apatinib,preferred_label,apatinib,preferred_label,39307038
patients,preferred_label,patients,preferred_label,39307038
disease progression,preferred_label,disease progression,preferred_label,39307038
phase II study,preferred_label,phase II study,preferred_label,39307038
treatment,preferred_label,treatment,preferred_label,39307038
adverse events,preferred_label,adverse events,preferred_label,39307038
sacituzumab govitecan,drug,sacituzumab govitecan,drug,39302614
breast cancer,disease,breast cancer,disease,39302614
Japanese patients,patient,Japanese patients,patient,39302614
triple negative breast cancer,disease,triple negative breast cancer,disease,39302614
transaminases,biomarker,transaminases,biomarker,39302614
progression free survival,outcome,progression free survival,outcome,39302614
overall survival,outcome,overall survival,outcome,39302614
drug induced pneumonitis,adverse event,drug induced pneumonitis,adverse event,39302574
lung cancer systemic therapy,treatment,lung cancer systemic therapy,treatment,39302574
immunotherapy,treatment,immunotherapy,treatment,39302574
chemotherapy,treatment,chemotherapy,treatment,39302574
targeted therapy,treatment,targeted therapy,treatment,39302574
immune checkpoint inhibitors,drug,immune checkpoint inhibitors,drug,39302574
corticosteroids,drug,corticosteroids,drug,39302574
ibrutinib,drug,ibrutinib,drug,39300447
lenalidomide,drug,lenalidomide,drug,39300447
primary central nervous system lymphoma,disease,primary central nervous system lymphoma,disease,39300447
methotrexate,drug,methotrexate,drug,39300447
rituximab,drug,rituximab,drug,39300447
procarbazine,drug,procarbazine,drug,39300447
vincristine,drug,vincristine,drug,39300447
prednisone,drug,prednisone,drug,39300447
aspergillosis,adverse event,aspergillosis,adverse event,39300447
pneumocystosis,adverse event,pneumocystosis,adverse event,39300447
catheter related infection,adverse event,catheter related infection,adverse event,39300447
increased alanine aminotransferase levels,adverse event,increased alanine aminotransferase levels,adverse event,39300447
hepatic cytolysis,adverse event,hepatic cytolysis,adverse event,39300447
neutropenia,adverse event,neutropenia,adverse event,39300447
infections,adverse event,infections,adverse event,39300447
lyell's syndrome,adverse event,lyell's syndrome,adverse event,39300447
5 fluorouracil,drug,5 fluorouracil,drug,39300121
colorectal cancer malignancy,disease,colorectal cancer malignancy,disease,39300121
senescent cells,cellular component,senescent cells,cellular component,39300121
oleanolic acid,drug,oleanolic acid,drug,39300121
human umbilical vein endothelial cells (HUVECs),cell line,human umbilical vein endothelial cells (HUVECs),cell line,39300121
human normal intestinal epithelial cells (NCM460),cell line,human normal intestinal epithelial cells (NCM460),cell line,39300121
senescence associated proteins,biomolecule,senescence associated proteins,biomolecule,39300121
senescence associated genes,biomolecule,senescence associated genes,biomolecule,39300121
senescence associated secretory phenotypes (SASPs),biomolecule,senescence associated secretory phenotypes (SASPs),biomolecule,39300121
IL-1,biomolecule,IL-1,biomolecule,39300121
IL-6,biomolecule,IL-6,biomolecule,39300121
IL-8,biomolecule,IL-8,biomolecule,39300121
IFN,biomolecule,IFN,biomolecule,39300121
TNF,biomolecule,TNF,biomolecule,39300121
mTOR,biomolecule,mTOR,biomolecule,39300121
HCT116 cells,cell line,HCT116 cells,cell line,39300121
SW480 cells,cell line,SW480 cells,cell line,39300121
Gemox,drug,Gemox,drug,39299973
Gemcitabine,drug,Gemcitabine,drug,39299973
Oxaliplatin,drug,Oxaliplatin,drug,39299973
Sintilimab,drug,Sintilimab,drug,39299973
PD-1 receptor,class_id,PD-1 receptor,class_id,39299973
PTCL,class_id,PTCL,class_id,39299973
Hematology department,class_id,Hematology department,class_id,39299973
Second affiliated hospital of Zhejiang University School of Medicine,class_id,Second affiliated hospital of Zhejiang University School of Medicine,class_id,39299973
Autologous stem cell transplantation,procedure,Autologous stem cell transplantation,procedure,39299973
Histone deacetylase inhibitors,drug,Histone deacetylase inhibitors,drug,39299973
Adverse event,class_id,Adverse event,class_id,39299973
neurologic immune related adverse events,preferred_label,neurologic immune related adverse events,preferred_label,39298719
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39298719
italian hospitals,preferred_label,italian hospitals,preferred_label,39298719
patients,preferred_label,patients,preferred_label,39298719
peripheral nervous system,preferred_label,peripheral nervous system,preferred_label,39298719
central nervous system,preferred_label,central nervous system,preferred_label,39298719
myocarditis,preferred_label,myocarditis,preferred_label,39298719
cerebellar ataxia,preferred_label,cerebellar ataxia,preferred_label,39298719
neuromuscular weakness,preferred_label,neuromuscular weakness,preferred_label,39298719
visual loss,preferred_label,visual loss,preferred_label,39298719
sensory disturbances,preferred_label,sensory disturbances,preferred_label,39298719
focal neurologic signs,preferred_label,focal neurologic signs,preferred_label,39298719
cognitive impairment,preferred_label,cognitive impairment,preferred_label,39298719
severe neurologic disability,preferred_label,severe neurologic disability,preferred_label,39298719
overall mortality,preferred_label,overall mortality,preferred_label,39298719
cancer progression,preferred_label,cancer progression,preferred_label,39298719
nsclc,preferred_label,nsclc,preferred_label,39298516
rhodium iii 2 benzoylpyridine thiosemicarbazone complexes,preferred_label,rhodium iii 2 benzoylpyridine thiosemicarbazone complexes,preferred_label,39298516
rh4,preferred_label,rh4,preferred_label,39298516
aft nanoparticle,preferred_label,aft nanoparticle,preferred_label,39298516
multidrug resistant nsclc,preferred_label,multidrug resistant nsclc,preferred_label,39298516
breast cancer,class_id,breast cancer,class_id,39294665
chemotherapy,class_id,chemotherapy,class_id,39294665
phytomolecules,class_id,phytomolecules,class_id,39294665
combination therapy,class_id,combination therapy,class_id,39294665
drug delivery systems,class_id,drug delivery systems,class_id,39294665
complementary and alternative medicine,class_id,complementary and alternative medicine,class_id,39294665
phytochemicals,class_id,phytochemicals,class_id,39294665
clinical trials,class_id,clinical trials,class_id,39294665
polypharmacy,preferred_label,polypharmacy,preferred_label,39294452
potentially inappropriate medications (PIM),synonyms,potentially inappropriate medications (PIM),synonyms,39294452
older adults with advanced cancer,semantic_types,older adults with advanced cancer,semantic_types,39294452
physical functional outcomes,preferred_label,physical functional outcomes,preferred_label,39294452
medication measures,preferred_label,medication measures,preferred_label,39294452
geriatric assessment domain impairment,preferred_label,geriatric assessment domain impairment,preferred_label,39294452
antineoplastic regimen,preferred_label,antineoplastic regimen,preferred_label,39294452
polypharmacy,preferred_label,polypharmacy,preferred_label,39294452
medications (meds),synonyms,medications (meds),synonyms,39294452
screening tool of older person's prescriptions (STOPP) criteria,preferred_label,screening tool of older person's prescriptions (STOPP) criteria,preferred_label,39294452
2019 Beers criteria,preferred_label,2019 Beers criteria,preferred_label,39294452
activity of daily living (ADL),preferred_label,activity of daily living (ADL),preferred_label,39294452
instrumental ADL (IADL),preferred_label,instrumental ADL (IADL),preferred_label,39294452
short physical performance battery (SPPB),preferred_label,short physical performance battery (SPPB),preferred_label,39294452
falls,preferred_label,falls,preferred_label,39294452
multivariable cluster weighted generalized estimating equations models,preferred_label,multivariable cluster weighted generalized estimating equations models,preferred_label,39294452
relevant covariates,preferred_label,relevant covariates,preferred_label,39294452
vulnerable older adults with advanced cancer,semantic_types,vulnerable older adults with advanced cancer,semantic_types,39294452
systemic treatment,preferred_label,systemic treatment,preferred_label,39294452
interventions to optimize medication use,preferred_label,interventions to optimize medication use,preferred_label,39294452
lutetium 177,preferred_label,lutetium 177,preferred_label,39293461
prostate specific membrane antigen,preferred_label,prostate specific membrane antigen,preferred_label,39293461
psma 617,preferred_label,psma 617,preferred_label,39293461
metastatic castration resistant prostate cancer,preferred_label,metastatic castration resistant prostate cancer,preferred_label,39293461
docetaxel,preferred_label,docetaxel,preferred_label,39293461
prostate adenocarcinoma,preferred_label,prostate adenocarcinoma,preferred_label,39293461
androgen deprivation therapy,preferred_label,androgen deprivation therapy,preferred_label,39293461
undetectable prostate specific antigen,preferred_label,undetectable prostate specific antigen,preferred_label,39293461
febrile neutropenia,preferred_label,febrile neutropenia,preferred_label,39293461
diarrhoea,preferred_label,diarrhoea,preferred_label,39293461
ld sclc,preferred_label,ld sclc,preferred_label,39287161
platinum etoposide chemotherapy,preferred_label,platinum etoposide chemotherapy,preferred_label,39287161
thoracic radiotherapy,preferred_label,thoracic radiotherapy,preferred_label,39287161
older patients,preferred_label,older patients,preferred_label,39287161
chemoradiotherapy,preferred_label,chemoradiotherapy,preferred_label,39287161
concurrent crt,preferred_label,concurrent crt,preferred_label,39287161
sequential crt,preferred_label,sequential crt,preferred_label,39287161
chemotherapeutic treatment cycles,preferred_label,chemotherapeutic treatment cycles,preferred_label,39287161
response rate,preferred_label,response rate,preferred_label,39287161
progression free survival (PFS),preferred_label,progression free survival (PFS),preferred_label,39287161
overall survival (OS),preferred_label,overall survival (OS),preferred_label,39287161
hematological adverse events,preferred_label,hematological adverse events,preferred_label,39287161
treatment related deaths,preferred_label,treatment related deaths,preferred_label,39287161
reduced neutrophil count,preferred_label,reduced neutrophil count,preferred_label,39287161
prospective trials,preferred_label,prospective trials,preferred_label,39287161
optimal treatment strategies,preferred_label,optimal treatment strategies,preferred_label,39287161
tumor patients,class_id,tumor patients,class_id,39286288
cardiovascular complications,class_id,cardiovascular complications,class_id,39286288
cancer therapy related cardiovascular toxicity,class_id,cancer therapy related cardiovascular toxicity,class_id,39286288
cardiotoxicity,class_id,cardiotoxicity,class_id,39286288
anticancer drugs,class_id,anticancer drugs,class_id,39286288
heart failure,class_id,heart failure,class_id,39286288
myocarditis,class_id,myocarditis,class_id,39286288
hypertension,class_id,hypertension,class_id,39286288
arrhythmias,class_id,arrhythmias,class_id,39286288
vascular toxicity,class_id,vascular toxicity,class_id,39286288
vascular endothelial dysfunction,class_id,vascular endothelial dysfunction,class_id,39286288
ferroptosis,class_id,ferroptosis,class_id,39286288
mitochondrial dysfunction,class_id,mitochondrial dysfunction,class_id,39286288
oxidative stress,class_id,oxidative stress,class_id,39286288
therapeutic measures,class_id,therapeutic measures,class_id,39286288
accumulation of anticancer drugs,class_id,accumulation of anticancer drugs,class_id,39286288
cardioprotective drugs,class_id,cardioprotective drugs,class_id,39286288
early detection,class_id,early detection,class_id,39286288
mitochondrial transplantation,class_id,mitochondrial transplantation,class_id,39286288
doxorubicin (dox),class_id,doxorubicin (dox),class_id,39286288
Metastatic Breast Cancer,has disease,Metastatic Breast Cancer,has disease,39279590
Older Women (65+),occurs in patient having disease,Older Women (65+),occurs in patient having disease,39279590
Genomics Guided Therapy,may_treat,Genomics Guided Therapy,may_treat,39279590
Biomarkers,may_diagnose,Biomarkers,may_diagnose,39279590
Systemic Anticancer Treatments,may_treat,Systemic Anticancer Treatments,may_treat,39279590
Subgroup Analyses,is evidence of,Subgroup Analyses,is evidence of,39279590
Real World Data,is evidence of,Real World Data,is evidence of,39279590
Guideline Concordance,realized in,Guideline Concordance,realized in,39279590
Comorbidity,occurs in patient having disease,Comorbidity,occurs in patient having disease,39279590
Social Supports,protects,Social Supports,protects,39279590
Malnutrition,induced_by,Malnutrition,induced_by,39279590
Frailty,may_prevent,Frailty,may_prevent,39279590
Multi-disciplinary Team,bearer of,Multi-disciplinary Team,bearer of,39279590
immune checkpoint inhibitors,drug,immune checkpoint inhibitors,drug,39277735
immune related adverse events,adverse event,immune related adverse events,adverse event,39277735
kidney,anatomical entity,kidney,anatomical entity,39277735
anti programmed cell death protein 1 (PD-1) therapy,drug,anti programmed cell death protein 1 (PD-1) therapy,drug,39277735
renal immune related adverse events (R-IRAEs),adverse event,renal immune related adverse events (R-IRAEs),adverse event,39277735
peripheral blood mononuclear cells (PBMCs),cell type,peripheral blood mononuclear cells (PBMCs),cell type,39277735
CD4+ T cells,cell type,CD4+ T cells,cell type,39277735
CD8+ T cells,cell type,CD8+ T cells,cell type,39277735
ovarian clear cell carcinoma,preferred_label,ovarian clear cell carcinoma,preferred_label,39276785
sintilimab,preferred_label,sintilimab,preferred_label,39276785
bevacizumab,preferred_label,bevacizumab,preferred_label,39276785
treatment,preferred_label,treatment,preferred_label,39276785
chemotherapy,preferred_label,chemotherapy,preferred_label,39276785
patients,preferred_label,patients,preferred_label,39276785
trial,preferred_label,trial,preferred_label,39276785
response assessment,preferred_label,response assessment,preferred_label,39276785
adverse events,preferred_label,adverse events,preferred_label,39276785
activity analysis,preferred_label,activity analysis,preferred_label,39276785
safety analysis,preferred_label,safety analysis,preferred_label,39276785
cdk4 6 inhibitors,preferred_label,cdk4 6 inhibitors,preferred_label,39267478
endocrine therapy,preferred_label,endocrine therapy,preferred_label,39267478
hormone receptor positive advanced breast cancer,preferred_label,hormone receptor positive advanced breast cancer,preferred_label,39267478
cdk4 6i therapy,preferred_label,cdk4 6i therapy,preferred_label,39267478
abemaciclib,preferred_label,abemaciclib,preferred_label,39267478
palbociclib,preferred_label,palbociclib,preferred_label,39267478
ribociclib,preferred_label,ribociclib,preferred_label,39267478
dalpiciclib,preferred_label,dalpiciclib,preferred_label,39267478
progression free survival,preferred_label,progression free survival,preferred_label,39267478
toxicity,preferred_label,toxicity,preferred_label,39267478
objective response rate,preferred_label,objective response rate,preferred_label,39267478
disease control rate,preferred_label,disease control rate,preferred_label,39267478
overall survival,preferred_label,overall survival,preferred_label,39267478
adverse events,preferred_label,adverse events,preferred_label,39267478
lung metastasis,preferred_label,lung metastasis,preferred_label,39267478
switch to endocrine therapy,preferred_label,switch to endocrine therapy,preferred_label,39267478
chemotherapy,preferred_label,chemotherapy,preferred_label,39267478
clinical benefits,preferred_label,clinical benefits,preferred_label,39267478
safety profiles,preferred_label,safety profiles,preferred_label,39267478
effective treatment strategy,preferred_label,effective treatment strategy,preferred_label,39267478
trastuzumab deruxtecan,drug,trastuzumab deruxtecan,drug,39491462
metastatic breast cancer,disease,metastatic breast cancer,disease,39491462
patients,class_id,patients,class_id,39491462
her 2 amplification,class_id,her 2 amplification,class_id,39491462
antibody drug conjugates,class_id,antibody drug conjugates,class_id,39491462
renal toxicity,adverse event,renal toxicity,adverse event,39488644
hematological toxicity,adverse event,hematological toxicity,adverse event,39488644
peptide receptor radionuclide therapy (PRRT),treatment,peptide receptor radionuclide therapy (PRRT),treatment,39488644
neuroendocrine tumor (NET),disease,neuroendocrine tumor (NET),disease,39488644
177Lu dotatate,drug,177Lu dotatate,drug,39488644
90Y dotatoc,drug,90Y dotatoc,drug,39488644
renal function,biomarker,renal function,biomarker,39488644
hematological function,biomarker,hematological function,biomarker,39488644
overall survival (OS),outcome,overall survival (OS),outcome,39488644
progression free survival (PFS),outcome,progression free survival (PFS),outcome,39488644
hepatocellular carcinoma,disease,hepatocellular carcinoma,disease,39480853
vinpocetine,drug,vinpocetine,drug,39480853
rats,organism,rats,organism,39480853
diethylnitrosamine,chemical compound,diethylnitrosamine,chemical compound,39480853
ccnd1,protein,ccnd1,protein,39480853
ki-67,protein,ki-67,protein,39480853
bcl-2,protein,bcl-2,protein,39480853
bax,protein,bax,protein,39480853
cleaved caspase 3,protein,cleaved caspase 3,protein,39480853
nf-kb,protein,nf-kb,protein,39480853
stat3,protein,stat3,protein,39480853
hif-1,protein,hif-1,protein,39480853
icam-1,protein,icam-1,protein,39480853
tgf-1,protein,tgf-1,protein,39480853
nab sirolimus,preferred_label,nab sirolimus,preferred_label,39487711
temozolomide,preferred_label,temozolomide,preferred_label,39487711
irinotecan,preferred_label,irinotecan,preferred_label,39487711
thrombocytopenia,preferred_label,thrombocytopenia,preferred_label,39487711
Ewing sarcoma,preferred_label,Ewing sarcoma,preferred_label,39487711
skin cancer,class_id,skin cancer,class_id,39485529
melanoma,class_id,melanoma,class_id,39485529
metastatic melanoma,class_id,metastatic melanoma,class_id,39485529
BRAF inhibitors,class_id,BRAF inhibitors,class_id,39485529
vemurafenib,class_id,vemurafenib,class_id,39485529
dabrafenib,class_id,dabrafenib,class_id,39485529
MEK inhibitors,class_id,MEK inhibitors,class_id,39485529
trametinib,class_id,trametinib,class_id,39485529
cobimetinib,class_id,cobimetinib,class_id,39485529
immune checkpoint inhibitors,class_id,immune checkpoint inhibitors,class_id,39485529
ipilimumab,class_id,ipilimumab,class_id,39485529
combination therapy,class_id,combination therapy,class_id,39485529
adverse event,class_id,adverse event,class_id,39485529
dermatological toxicities,class_id,dermatological toxicities,class_id,39485529
onco nephrology,preferred_label,onco nephrology,preferred_label,39482406
renal events,preferred_label,renal events,preferred_label,39482406
cancer patients,preferred_label,cancer patients,preferred_label,39482406
hematological treatments,preferred_label,hematological treatments,preferred_label,39482406
renal toxicity,preferred_label,renal toxicity,preferred_label,39482406
kidney protective measures,preferred_label,kidney protective measures,preferred_label,39482406
patients,preferred_label,patients,preferred_label,39482406
questionnaire,preferred_label,questionnaire,preferred_label,39482406
solid tumor,preferred_label,solid tumor,preferred_label,39482406
anticancer treatment,preferred_label,anticancer treatment,preferred_label,39482406
hydration,preferred_label,hydration,preferred_label,39482406
nausea,preferred_label,nausea,preferred_label,39482406
vomiting,preferred_label,vomiting,preferred_label,39482406
alkaline water,preferred_label,alkaline water,preferred_label,39482406
dehydration,preferred_label,dehydration,preferred_label,39482406
information,preferred_label,information,preferred_label,39482406
trastuzumab,drug,trastuzumab,drug,39478296
corneal ulceration,disease,corneal ulceration,disease,39478296
metastatic breast cancer,disease,metastatic breast cancer,disease,39478296
herceptin,drug,herceptin,drug,39478296
corneal ulcer,disease,corneal ulcer,disease,39478296
breast cancer,disease,breast cancer,disease,39478296
optic nerve compression,disease,optic nerve compression,disease,39478296
keratoplasty,procedure,keratoplasty,procedure,39478296
ocular surface therapy,procedure,ocular surface therapy,procedure,39478296
inavolisib,drug,inavolisib,drug,39476340
pik3ca,gene,pik3ca,gene,39476340
palbociclib,drug,palbociclib,drug,39476340
fulvestrant,drug,fulvestrant,drug,39476340
breast cancer,disease,breast cancer,disease,39476340
neutropenia,adverse event,neutropenia,adverse event,39476340
hyperglycemia,adverse event,hyperglycemia,adverse event,39476340
stomatitis,adverse event,stomatitis,adverse event,39476340
diarrhea,adverse event,diarrhea,adverse event,39476340
gefitinib,drug,gefitinib,drug,39472861
chemotherapy,treatment,chemotherapy,treatment,39472861
bevacizumab,drug,bevacizumab,drug,39472861
epidermal growth factor receptor (EGFR),gene/protein,epidermal growth factor receptor (EGFR),gene/protein,39472861
non squamous non small cell lung cancer (NSCLC),disease,non squamous non small cell lung cancer (NSCLC),disease,39472861
pemetrexed,drug,pemetrexed,drug,39472861
carboplatin,drug,carboplatin,drug,39472861
neutropenia,adverse event,neutropenia,adverse event,39472861
thrombocytopenia,adverse event,thrombocytopenia,adverse event,39472861
nausea,adverse event,nausea,adverse event,39472861
skin rash,adverse event,skin rash,adverse event,39472861
bleeding,adverse event,bleeding,adverse event,39472861
increased ALT,adverse event,increased ALT,adverse event,39472861
afatinib,drug,afatinib,drug,39471023
non small cell lung cancer,disease,non small cell lung cancer,disease,39471023
egfr mutations,genetic mutation,egfr mutations,genetic mutation,39471023
elderly patients,patient demographic,elderly patients,patient demographic,39471023
physical condition,clinical characteristic,physical condition,clinical characteristic,39471023
comorbidities,medical condition,comorbidities,medical condition,39471023
initial dosage,treatment parameter,initial dosage,treatment parameter,39471023
dose adjustments,treatment parameter,dose adjustments,treatment parameter,39471023
retrospective analysis,study design,retrospective analysis,study design,39471023
cancer centers,medical facility,cancer centers,medical facility,39471023
brain metastases,medical condition,brain metastases,medical condition,39471023
adverse effects,side effect,adverse effects,side effect,39471023
response rate,clinical parameter,response rate,clinical parameter,39471023
neoadjuvant chemotherapy,preferred_label,neoadjuvant chemotherapy,preferred_label,39468597
ovarian cancer,preferred_label,ovarian cancer,preferred_label,39468597
nanoparticle albumin bound paclitaxel,preferred_label,nanoparticle albumin bound paclitaxel,preferred_label,39468597
carboplatin,preferred_label,carboplatin,preferred_label,39468597
unresectable oc,preferred_label,unresectable oc,preferred_label,39468597
phase ib ii study,preferred_label,phase ib ii study,preferred_label,39468597
patients,preferred_label,patients,preferred_label,39468597
surgery,preferred_label,surgery,preferred_label,39468597
adverse events,preferred_label,adverse events,preferred_label,39468597
nivolumab,drug,nivolumab,drug,39468513
chemotherapy,drug,chemotherapy,drug,39468513
gastric cancer,disease,gastric cancer,disease,39468513
her2,gene,her2,gene,39468513
programmed cell death ligand 1,protein,programmed cell death ligand 1,protein,39468513
neutropenia,adverse event,neutropenia,adverse event,39468513
thrombocytopenia,adverse event,thrombocytopenia,adverse event,39468513
diarrhea,adverse event,diarrhea,adverse event,39468513
anemia,adverse event,anemia,adverse event,39468513
Head and Neck Squamous Cell Carcinoma,class_id,Head and Neck Squamous Cell Carcinoma,class_id,39467871
Cisplatin-based Chemoradiotherapy,class_id,Cisplatin-based Chemoradiotherapy,class_id,39467871
Toxicities,preferred_label,Toxicities,preferred_label,39467871
Skeletal Muscle Mass,preferred_label,Skeletal Muscle Mass,preferred_label,39467871
Patients,preferred_label,Patients,preferred_label,39467871
Qualitative Study,preferred_label,Qualitative Study,preferred_label,39467871
Interviews,preferred_label,Interviews,preferred_label,39467871
Topic Guide,preferred_label,Topic Guide,preferred_label,39467871
Thematic Analysis,preferred_label,Thematic Analysis,preferred_label,39467871
Counseling,preferred_label,Counseling,preferred_label,39467871
excessive dna damage,semantic_types,excessive dna damage,semantic_types,39465258
pcd,preferred_label,pcd,preferred_label,39465258
panoptosis,preferred_label,panoptosis,preferred_label,39465258
pyroptosis,preferred_label,pyroptosis,preferred_label,39465258
apoptosis,preferred_label,apoptosis,preferred_label,39465258
necroptosis,preferred_label,necroptosis,preferred_label,39465258
z DNA binding protein 1,preferred_label,z DNA binding protein 1,preferred_label,39465258
endogenous retroviruses,preferred_label,endogenous retroviruses,preferred_label,39465258
chemotherapeutic drugs,preferred_label,chemotherapeutic drugs,preferred_label,39465258
tumor tissue,preferred_label,tumor tissue,preferred_label,39465258
colorectal cancer patients,preferred_label,colorectal cancer patients,preferred_label,39465258
dsrna,preferred_label,dsrna,preferred_label,39465258
normal colonic tissues,preferred_label,normal colonic tissues,preferred_label,39465258
tumor immunotherapy,preferred_label,tumor immunotherapy,preferred_label,39456702
cancer treatment,preferred_label,cancer treatment,preferred_label,39456702
immune cells,preferred_label,immune cells,preferred_label,39456702
suppressing checkpoints,preferred_label,suppressing checkpoints,preferred_label,39456702
tumor regression,preferred_label,tumor regression,preferred_label,39456702
tumor microenvironment,preferred_label,tumor microenvironment,preferred_label,39456702
effector immune cells,preferred_label,effector immune cells,preferred_label,39456702
inhibitory immune cells,preferred_label,inhibitory immune cells,preferred_label,39456702
immune related adverse events,preferred_label,immune related adverse events,preferred_label,39456702
inflammatory bowel disease,preferred_label,inflammatory bowel disease,preferred_label,39456702
tnf,preferred_label,tnf,preferred_label,39456702
ifn,preferred_label,ifn,preferred_label,39456702
immune checkpoint inhibitors induced colitis,preferred_label,immune checkpoint inhibitors induced colitis,preferred_label,39456702
epithelial cells,preferred_label,epithelial cells,preferred_label,39456702
breast cancer,class_id,breast cancer,class_id,39453820
chemotherapy,preferred_label,chemotherapy,preferred_label,39453820
surgical intervention,preferred_label,surgical intervention,preferred_label,39453820
radiation therapy,preferred_label,radiation therapy,preferred_label,39453820
hormone therapy,preferred_label,hormone therapy,preferred_label,39453820
biological therapy,preferred_label,biological therapy,preferred_label,39453820
plants,class_id,plants,class_id,39453820
natural products,preferred_label,natural products,preferred_label,39453820
anticancer drugs,preferred_label,anticancer drugs,preferred_label,39453820
bioactive compounds,preferred_label,bioactive compounds,preferred_label,39453820
immune checkpoint inhibitors,preferred_label,immune checkpoint inhibitors,preferred_label,39450164
immune related adverse events,preferred_label,immune related adverse events,preferred_label,39450164
endocrine toxicities,preferred_label,endocrine toxicities,preferred_label,39450164
diabetes mellitus,preferred_label,diabetes mellitus,preferred_label,39450164
thyroid dysfunction,preferred_label,thyroid dysfunction,preferred_label,39450164
patient,preferred_label,patient,preferred_label,39450164
sintilimab,preferred_label,sintilimab,preferred_label,39450164
cervical carcinoma,preferred_label,cervical carcinoma,preferred_label,39450164
diabetic ketoacidosis,preferred_label,diabetic ketoacidosis,preferred_label,39450164
hypothyroidism,preferred_label,hypothyroidism,preferred_label,39450164
insulin treatment,preferred_label,insulin treatment,preferred_label,39450164
chemotherapy,preferred_label,chemotherapy,preferred_label,39450164
spartalizumab,drug,spartalizumab,drug,39448966
canakinumab,drug,canakinumab,drug,39448966
gemcitabine,drug,gemcitabine,drug,39448966
cisplatin,drug,cisplatin,drug,39448966
pemetrexed,drug,pemetrexed,drug,39448966
paclitaxel,drug,paclitaxel,drug,39448966
non small cell lung cancer,disease,non small cell lung cancer,disease,39448966
posterior reversible encephalopathy syndrome,adverse event,posterior reversible encephalopathy syndrome,adverse event,39448966
hyponatremia,adverse event,hyponatremia,adverse event,39448966
neutropenic colitis,adverse event,neutropenic colitis,adverse event,39448966
clinicaltrials.gov,source,clinicaltrials.gov,source,39448966
triple negative breast carcinoma,class_id,triple negative breast carcinoma,class_id,39446014
chemotherapy,preferred_label,chemotherapy,preferred_label,39446014
monoclonal antibody drug conjugate sacituzumab govitecan,preferred_label,monoclonal antibody drug conjugate sacituzumab govitecan,preferred_label,39446014
elderly patient,preferred_label,elderly patient,preferred_label,39446014
triple negative breast carcinoma,class_id,triple negative breast carcinoma,class_id,39446012
sacituzumab govitecan,preferred_label,sacituzumab govitecan,preferred_label,39446012
elderly patients,preferred_label,elderly patients,preferred_label,39446012
metastatic breast cancer,preferred_label,metastatic breast cancer,preferred_label,39446012
luminal b,preferred_label,luminal b,preferred_label,39446012
hormonal and chemotherapeutic treatment,preferred_label,hormonal and chemotherapeutic treatment,preferred_label,39446012
g3 diarrhea,preferred_label,g3 diarrhea,preferred_label,39446012
quality of life,preferred_label,quality of life,preferred_label,39446012
partial response of the disease,preferred_label,partial response of the disease,preferred_label,39446012
inflammatory factors,semantic_types,inflammatory factors,semantic_types,39445010
coronavirus disease 19,semantic_types,coronavirus disease 19,semantic_types,39445010
covid 19,semantic_types,covid 19,semantic_types,39445010
acute respiratory syndrome coronavirus 2,semantic_types,acute respiratory syndrome coronavirus 2,semantic_types,39445010
sars cov 2,semantic_types,sars cov 2,semantic_types,39445010
drug exposure,semantic_types,drug exposure,semantic_types,39445010
mild infection,semantic_types,mild infection,semantic_types,39445010
plasma imatinib,semantic_types,plasma imatinib,semantic_types,39445010
norimatinib concentrations,semantic_types,norimatinib concentrations,semantic_types,39445010
patients,semantic_types,patients,semantic_types,39445010
gastrointestinal stromal tumor,semantic_types,gastrointestinal stromal tumor,semantic_types,39445010
imatinib metabolism,semantic_types,imatinib metabolism,semantic_types,39445010
transport,semantic_types,transport,semantic_types,39445010
cyp3a4,semantic_types,cyp3a4,semantic_types,39445010
cyp3a5,semantic_types,cyp3a5,semantic_types,39445010
abcb1,semantic_types,abcb1,semantic_types,39445010
abcg2,semantic_types,abcg2,semantic_types,39445010
infection,semantic_types,infection,semantic_types,39445010
side effects,semantic_types,side effects,semantic_types,39445010
case series,semantic_types,case series,semantic_types,39445010
acute myeloid leukemia,class_id,acute myeloid leukemia,class_id,39443599
stem cell,class_id,stem cell,class_id,39443599
malignancy,class_id,malignancy,class_id,39443599
chemotherapy,class_id,chemotherapy,class_id,39443599
cytarabine,class_id,cytarabine,class_id,39443599
daunorubicin,class_id,daunorubicin,class_id,39443599
therapy protocol,class_id,therapy protocol,class_id,39443599
hematopoietic system,class_id,hematopoietic system,class_id,39443599
adverse effects,class_id,adverse effects,class_id,39443599
blood cells,class_id,blood cells,class_id,39443599
stem cell niches,class_id,stem cell niches,class_id,39443599
mathematical model,class_id,mathematical model,class_id,39443599
clinical trial data,class_id,clinical trial data,class_id,39443599
cd34 cd38 aldh cells,class_id,cd34 cd38 aldh cells,class_id,39443599
complete remission,class_id,complete remission,class_id,39443599
g csf priming,class_id,g csf priming,class_id,39443599
salvage therapy,class_id,salvage therapy,class_id,39443599
minimal residual disease markers,class_id,minimal residual disease markers,class_id,39443599
